name,logfc,adjpval,avgexp,color,location,hovinfo,pointsize,opaq
ldrC,-0.850875996553097,0.254506128707807,3.76610310816165,black,0,none,0.658713279379675,0.4
ynfH,-1.02657941117884,0.259370226745823,3.57544545235141,black,0,none,0.614639123924278,0.4
nirC,1.20027777812658,0.283804373483072,3.15906869940238,black,0,none,0.529150072661545,0.4
yohO,0.92262418305845,0.29705967689967,2.34611132441088,black,0,none,0.397431131399373,0.4
queF,-0.747729152878759,0.198385277566506,6.01772390480073,black,0,none,1.53679867159662,0.4
alaA,-0.607748042614783,0.177241204269511,6.55940622594337,black,0,none,1.89813647204393,0.4
mreB,-0.478261706490086,0.110168505267687,8.78080208952022,black,0,none,4.63165061974622,0.4
moeB,0.647514492012398,0.188220565438245,5.90286433918962,black,0,none,1.47000945100291,0.4
leuA,0.73451242041824,0.174810402046655,6.1958474160417,black,0,none,1.64682331006378,0.4
argB,0.786164122934186,0.199675937655306,5.58859661123596,black,0,none,1.30255735748151,0.4
abrB,1.33481407708368,0.269574886501113,3.81773178025856,black,0,none,0.67123081536378,0.4
hypA,1.00614777363223,0.304130719185748,1.7758673630045,black,0,none,0.32682958970987,0.4
yiaM,1.22406701321363,0.306697016965977,1.66055441223156,black,0,none,0.314329867368926,0.4
pgaC,0.859890504533967,0.269222475610209,3.82872235073526,black,0,none,0.673928698970828,0.4
xylR,-0.83926085572013,0.216935871918627,5.59717354403374,black,0,none,1.30684747266066,0.4
agaS,0.99360933132662,0.298900061025591,2.54984339463362,black,0,none,0.426649784108261,0.4
alaE,0.707891826395922,0.146057356506593,7.03409658939045,black,0,none,2.28888752311286,0.4
nagC,-0.478931064753326,0.155659604854078,7.13990250330686,black,0,none,2.38704114945605,0.4
ycfP,-0.42881551608853,0.126502036250833,8.11361001777343,black,0,none,3.52830171529536,0.4
cbtA,0.893186751080407,0.294388613991572,2.88076013301777,black,0,none,0.479304756048168,0.4
glk,-0.458798382842708,0.144734734261351,7.48832387133344,black,0,none,2.74282768628508,0.4
yeiL,1.22410838130973,0.303398988818784,2.43453044386068,black,0,none,0.409830280886496,0.4
ybgQ,1.07428900980307,0.292670365887547,3.02735513128594,black,0,none,0.504884932069168,0.4
cadB,1.06094802085534,0.29705967689967,2.81400381142048,black,0,none,0.468131159074166,0.4
ulaD,-0.866533730953166,0.274858841978313,3.24703442618457,black,0,none,0.546065910784746,0.4
metA,-0.778835210983484,0.26440615818326,3.72375289465102,black,0,none,0.648634488749141,0.4
